ACCOUNT_NUM;FLG_202201;FLG_202202;FLG_202203;FLG_202204;FLG_202205;FLG_202206;DEEP_CHANNELS_202201;DEEP_CHANNELS_202202;DEEP_CHANNELS_202203;DEEP_CHANNELS_202204;DEEP_CHANNELS_202205;DEEP_CHANNELS_202206;DEEP_CARDS_202201;DEEP_CARDS_202202;DEEP_CARDS_202203;DEEP_CARDS_202204;DEEP_CARDS_202205;DEEP_CARDS_202206;DEEP_CHECKING_202201;DEEP_CHECKING_202202;DEEP_CHECKING_202203;DEEP_CHECKING_202204;DEEP_CHECKING_202205;DEEP_CHECKING_202206;DEEP_BILLS_202201;DEEP_BILLS_202202;DEEP_BILLS_202203;DEEP_BILLS_202204;DEEP_BILLS_202205;DEEP_BILLS_202206;DEEP_CREDIT_202201;DEEP_CREDIT_202202;DEEP_CREDIT_202203;DEEP_CREDIT_202204;DEEP_CREDIT_202205;DEEP_CREDIT_202206;DEEP_INVESTMENTS_202201;DEEP_INVESTMENTS_202202;DEEP_INVESTMENTS_202203;DEEP_INVESTMENTS_202204;DEEP_INVESTMENTS_202205;DEEP_INVESTMENTS_202206;DEEP_PAYMENTS_202201;DEEP_PAYMENTS_202202;DEEP_PAYMENTS_202203;DEEP_PAYMENTS_202204;DEEP_PAYMENTS_202205;DEEP_PAYMENTS_202206;DEEP_PIX_202201;DEEP_PIX_202202;DEEP_PIX_202203;DEEP_PIX_202204;DEEP_PIX_202205;DEEP_PIX_202206;AMP_202201;AMP_202202;AMP_202203;AMP_202204;AMP_202205;AMP_202206
889;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;4;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;6;8;2;2;18;26;10;10;2;4;20;32
726;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;28;0;0;0;0;20;32
787;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;0;6;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;6;3;21;45;18;24;9;6;27;48;24;27
982;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4;12;12;0;8;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;28;28;28;36;16;24;32;40;44;36;24
560;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;1;2;0;0;1;0;1
107;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;4;0;2;0;0
607;1;1;1;1;1;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;22;24;2;2;4;2;26;26;2;2;4;2
689;1;1;1;1;1;1;0;0;0;0;0;0;0;0;8;4;4;8;24;16;8;16;12;20;0;0;0;0;4;4;0;0;0;0;0;0;0;0;0;0;0;0;8;12;4;8;4;4;100;72;88;100;116;100;132;100;108;128;140;136
888;1;1;1;1;1;1;0;0;0;0;0;0;4;4;4;4;4;4;0;4;0;0;0;4;8;4;8;8;8;8;0;0;0;0;0;0;0;0;0;0;0;0;4;12;12;12;8;12;108;64;160;100;116;152;124;88;184;124;136;180
685;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;4;2;0;12;16;18;16;20;20;14;16;22;20;22;20
857;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;12;38;28;8;2;0;14;40;30;8;2
570;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4;8;14;8;6;12;4;8;14;8;6;14
357;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;20;36;16;24;8;24;44;44;80;60;48;104;64;80;96;84;56;132
602;1;1;1;1;1;1;0;0;0;0;0;0;2;2;2;2;0;2;2;0;4;2;0;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;18;8;4;4;6;4;34;46;34;24;32;28;56;56;46;32;42;34
739;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;6;4;4;2;0;0;0;0;0;0;0;0;0;0;0;0;8;4;6;2;6;6;22;30;34;72;82;54;32;34;46;78;92;62
933;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;4;0;2;6;0;0
