oid_usuario;oid_conta;num_conta;nom_transacao;NUM_ANO_MES;qtd_transacao
1501363;1512350;1708;PIX;202204;30
1501363;1512350;1708;PIX;202201;14
1501363;1512350;1708;Investimentos;202206;14
5696077;5363998;17906;Cartões;202202;2
7059916;6540029;22233;Convênios;202204;8
1501363;1512350;1708;Convênios;202206;2
7059916;6540029;22233;Convênios;202206;4
5696077;5363998;17906;Cartões;202203;2
6191500;5796494;19259;Pagamentos;202202;4
1571775;1577528;5150;Pagamentos;202205;2
7059916;6540029;22233;Conta Corrente;202204;24
2930074;2827890;12050;Pagamentos;202206;4
7059916;6540029;22233;Conta Corrente;202203;40
7059916;6540029;22233;Convênios;202203;8
2542606;2471406;11010;Cartões;202202;2
1492012;1503591;698;Conta Corrente;202202;4
2930074;2827890;12050;Convênios;202201;2
1501363;1512350;1708;Pagamentos;202203;6
7160283;6625106;23264;Conta Corrente;202203;42
1501363;1512350;1708;Pagamentos;202206;4
6287815;5879512;19607;Convênios;202202;4
7059916;6540029;22233;Pagamentos;202206;12
7059916;6540029;22233;Conta Corrente;202206;12
5696077;5363998;17906;Cartões;202205;2
2930074;2827890;12050;Convênios;202206;2
3039919;2927036;12270;Pagamentos;202203;2
2930074;2827890;12050;Cartões;202204;2
6191500;5796494;19259;Crédito;202206;4
6586507;6137538;20648;Investimentos;202206;2
7059916;6540029;22233;PIX;202201;92
7059916;6540029;22233;PIX;202202;48
7059916;6540029;22233;PIX;202205;84
7059916;6540029;22233;PIX;202204;40
1501363;1512350;1708;PIX;202202;18
6191500;5796494;19259;PIX;202202;40
3303680;3163214;12726;PIX;202202;2
5696077;5363998;17906;PIX;202203;26
1502071;1512992;2267;PIX;202202;4
5696077;5363998;17906;PIX;202206;22
7134690;6603207;23108;PIX;202206;44
7160283;6625106;23264;PIX;202202;12
1506091;1516733;2046;PIX;202205;16
1506091;1516733;2046;PIX;202204;8
1506091;1516733;2046;PIX;202202;24
2542606;2471406;11010;PIX;202206;2
2542606;2471406;11010;PIX;202203;2
3039919;2927036;12270;PIX;202204;60
6976339;6469354;22055;PIX;202201;3
1492012;1503591;698;PIX;202202;20
2481603;2413503;6009;PIX;202204;60
6916328;6418474;22020;PIX;202205;2
6191500;5796494;19259;PIX;202201;12
4144705;3957560;14192;PIX;202205;2
1501363;1512350;1708;PIX;202206;46
2930074;2827890;12050;PIX;202201;82
3039919;2927036;12270;PIX;202201;44
3039919;2927036;12270;PIX;202206;70
6521014;6081070;20273;PIX;202205;72
7059916;6540029;22233;PIX;202206;72
3067516;2951479;11606;PIX;202203;2
4144705;3957560;14192;PIX;202203;4
4144705;3957560;14192;PIX;202202;4
2000138;1966930;4430;PIX;202204;2
7134690;6603207;23108;PIX;202204;18
7160283;6625106;23264;PIX;202204;78
7160283;6625106;23264;PIX;202203;12
1492012;1503591;698;PIX;202203;8
1492012;1503591;698;PIX;202206;2
7118288;6589461;23000;Cartões;202205;6
6233134;5832293;19356;Convênios;202206;8
6992392;6482893;22497;Pagamentos;202205;30
6950678;6447745;22390;Pagamentos;202202;6
4554914;4346435;14656;Pagamentos;202201;40
7185921;6646839;23280;Convênios;202202;6
2501724;2432062;10979;Conta Corrente;202204;4
2501724;2432062;10979;Conta Corrente;202205;6
1538232;1546527;3093;Conta Corrente;202203;104
6992392;6482893;22497;Convênios;202201;30
1570081;1575992;6378;Pagamentos;202202;22
6233134;5832293;19356;Convênios;202205;8
6008036;5637527;18805;Convênios;202203;2
5748689;5410417;17612;Convênios;202204;6
1665664;1657947;426;Cartões;202202;2
6950678;6447745;22390;Convênios;202201;6
1575536;1581009;5096;Convênios;202201;2
1665664;1657947;426;Cartões;202201;2
1558168;1565044;167;Pagamentos;202201;2
4554544;4346096;15075;Convênios;202205;38
4554914;4346435;14656;Conta Corrente;202201;8
7118288;6589461;23000;Pagamentos;202206;4
1558168;1565044;167;Pagamentos;202204;6
6992392;6482893;22497;Pagamentos;202201;48
6992392;6482893;22497;Conta Corrente;202205;30
4479653;4277496;14729;Investimentos;202202;6
1575536;1581009;5096;Pagamentos;202205;2
6992392;6482893;22497;Pagamentos;202202;24
7118288;6589461;23000;Cartões;202206;6
4554914;4346435;14656;Conta Corrente;202205;8
4479653;4277496;14729;Convênios;202206;2
1570081;1575992;6378;Cartões;202204;11
4554914;4346435;14656;Convênios;202203;16
1523206;1532792;3794;Conta Corrente;202204;4
1763874;1749057;4979;Convênios;202202;1
6855750;6367048;21644;Pagamentos;202202;4
6008036;5637527;18805;Convênios;202205;2
2619606;2542713;11002;Pagamentos;202206;7
6506149;6068285;19810;Crédito;202201;3
1538232;1546527;3093;Conta Corrente;202201;88
6932931;6432493;22225;Conta Corrente;202201;2
1763874;1749057;4979;Pagamentos;202206;1
6992392;6482893;22497;Convênios;202206;6
7185921;6646839;23280;Convênios;202206;10
6932931;6432493;22225;Pagamentos;202205;4
6992392;6482893;22497;Pagamentos;202203;30
7185921;6646839;23280;Pagamentos;202203;14
1585082;1589896;6459;Pagamentos;202206;6
1575536;1581009;5096;Cartões;202201;2
7185921;6646839;23280;Convênios;202201;6
2619606;2542713;11002;Pagamentos;202205;35
